date,trades_count,unique_accounts,total_volume,total_closedPnL,avg_pnl,win_rate,date_only,classification,lag1_sentiment,trades_count_pct_change_3d,sentiment_flag,cluster,signal_risk_on,next_day_pnl
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Fear,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Greed,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Neutral,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Greed,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Neutral,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Greed,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Neutral,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Greed,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Greed,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Greed,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Greed,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Greed,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Neutral,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Greed,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Greed,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Greed,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Greed,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Greed,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Neutral,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Greed,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Greed,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Greed,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Neutral,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Greed,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Extreme Fear,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Greed,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Greed,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Greed,Extreme Fear,0.0,1,0,1,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Greed,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Extreme Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Extreme Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Neutral,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Neutral,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
1970-01-01,186567,27,1060562694.89,8866188.695786,47.5228132294886,0.4179892478305381,1970-01-01,Fear,Fear,0.0,0,0,0,8866188.695786
